strategy,direction,entry_price,stop_price,target_price,exit_price,exit_time,entry_time,pnl_per_share,exit_reason,prev_close,today_open,gap_pct,atr,date,shares,gross_pnl,cost,trade_pnl,equity_after,drawdown_pct
gap_fill,short,624.51,634.4772357142857,604.5755285714285,627.49,2025-10-27 15:45:00-04:00,2025-10-27 09:30:00-04:00,-2.98,eod_close,617.1,624.51,0.012008,9.96723571428572,2025-10-27,8,-23.84,1.5,-25.34,10555.66,0.004
gap_fill,short,634.2,643.62795,615.3441,631.085,2025-10-31 15:45:00-04:00,2025-10-31 09:30:00-04:00,3.115,eod_close,626.05,634.2,0.013018,9.427949999999985,2025-10-31,8,24.92,1.52,23.4,10579.06,0.0018
gap_fill,short,635.12,644.1693785714285,617.0212428571429,631.975,2025-11-03 15:45:00-05:00,2025-11-03 09:30:00-05:00,3.145,eod_close,629.07,635.12,0.009617,9.04937857142856,2025-11-03,8,25.16,1.52,23.64,10602.69,0.0
gap_fill,long,623.28,614.6456214285714,640.5487571428571,620.72,2025-11-04 15:45:00-05:00,2025-11-04 09:30:00-05:00,-2.56,eod_close,632.08,623.28,-0.013922,8.634378571428556,2025-11-04,8,-20.48,1.5,-21.98,10580.72,0.0021
gap_fill,long,599.55,589.4889285714286,619.6721428571428,609.31,2025-11-14 15:45:00-05:00,2025-11-14 09:30:00-05:00,9.76,eod_close,608.4,599.55,-0.014546,10.061071428571422,2025-11-14,8,78.08,1.44,76.64,10657.36,0.0
gap_fill,short,618.39,626.7700142857143,601.6299714285714,611.041,2025-12-15 15:45:00-05:00,2025-12-15 09:30:00-05:00,7.349,eod_close,613.62,618.39,0.007774,8.380014285714294,2025-12-15,8,58.79,1.48,57.31,10714.67,0.0
gap_fill,short,621.36,629.8314214285714,604.4171571428571,619.19,2025-12-22 15:45:00-05:00,2025-12-22 09:30:00-05:00,2.17,eod_close,617.05,621.36,0.006985,8.471421428571423,2025-12-22,8,17.36,1.49,15.87,10730.53,0.0
gap_fill,short,620.09,627.4049928571428,605.4600142857144,613.2973,2026-01-02 15:45:00-05:00,2026-01-02 09:30:00-05:00,6.7927,eod_close,614.31,620.09,0.009409,7.31499285714284,2026-01-02,8,54.34,1.49,52.85,10783.39,0.0
gap_fill,short,619.3,626.815707142857,604.2685857142857,618.56,2026-01-05 15:45:00-05:00,2026-01-05 09:30:00-05:00,0.74,eod_close,613.12,619.3,0.01008,7.5157071428571305,2026-01-05,8,5.92,1.49,4.43,10787.82,0.0
gap_fill,long,622.3,616.3313357142856,634.2373285714285,627.85,2026-01-12 15:45:00-05:00,2026-01-12 09:30:00-05:00,5.55,eod_close,626.65,622.3,-0.006942,5.968664285714291,2026-01-12,8,44.4,1.49,42.91,10830.73,0.0
gap_fill,long,622.24,616.3249071428571,634.0701857142857,616.3249071428571,2026-01-14 10:48:00-05:00,2026-01-14 09:30:00-05:00,-5.9151,stop,626.24,622.24,-0.006387,5.915092857142862,2026-01-14,8,-47.32,1.49,-48.81,10781.91,0.0045
gap_fill,short,626.61,633.0286642857143,613.7726714285715,621.645,2026-01-15 15:45:00-05:00,2026-01-15 09:30:00-05:00,4.965,eod_close,619.55,626.61,0.011395,6.4186642857142955,2026-01-15,8,39.72,1.5,38.22,10820.13,0.001
gap_fill,short,625.51,632.4922357142857,611.5455285714286,621.54,2026-01-16 15:45:00-05:00,2026-01-16 09:30:00-05:00,3.97,eod_close,621.78,625.51,0.005999,6.982235714285731,2026-01-16,8,31.76,1.5,30.26,10850.39,0.0
